BTCUSDT,ETHUSDT
43981.07,3024.1
43784.1,3007.69
43763.61,3012.23
43795.56,3014.42
43841.26,3020.31
43872.99,3024.13
43976.22,3031.4
43899.2,3032.57
43894.52,3031.71
43768.3,3021.72
43677.18,3017.72
43694.48,3020.09
43503.8,3008.45
43497.17,3005.14
43486.76,3002.69
43564.77,3010.66
43596.65,3012.78
43609.43,3012.69
43656.29,3017.92
43665.48,3020.09
43773.92,3027.79
43686.14,3019.1
43680.52,3018.98
43742.74,3021.65
43747.74,3022.07
43749.68,3020.92
43648.0,3011.17
43546.17,3003.98
43543.61,3000.98
43579.82,3001.94
43615.21,3006.17
43400.0,2990.36
43412.13,2992.64
43361.31,2985.74
43369.99,2989.0
43379.01,2988.85
43415.12,2994.62
43467.45,2998.79
43450.72,2996.73
43535.28,3003.28
43521.95,3003.25
43484.72,3000.01
43514.82,3001.22
43600.48,3007.31
43610.01,3005.37
43530.17,2992.58
43627.42,3002.03
43635.79,3002.98
43621.0,3003.03
43652.74,3006.89
43660.0,3013.19
43622.88,3009.13
43601.85,3008.38
43556.06,3003.68
43516.28,2997.38
43501.6,2992.77
43509.99,2993.66
43478.55,2992.57
43543.22,2998.13
43625.02,2999.93
43564.81,2995.01
43537.95,2996.52
43654.32,3003.4
43790.92,3009.38
43696.92,3005.85
43709.39,3008.03
43781.57,3012.52
43813.16,3016.02
43867.08,3017.14
43800.34,3012.51
43817.66,3014.48
43850.33,3017.44
43981.77,3024.94
43948.63,3024.08
43887.26,3014.7
43890.11,3013.74
43795.13,3007.08
43822.48,3010.3
43780.73,3009.08
43913.63,3019.99
43895.77,3017.13
43998.19,3024.38
43941.5,3022.5
43995.09,3026.21
43982.79,3022.84
43950.01,3015.99
44007.53,3020.18
44321.22,3038.83
44478.73,3066.54
44623.46,3073.34
44687.32,3072.16
44697.0,3082.84
44783.18,3086.51
44700.01,3077.3
44771.71,3088.43
44788.42,3091.46
44800.89,3097.28
44912.62,3102.32
44826.59,3102.33
44762.9,3108.1
44805.83,3113.6
44793.9,3113.18
44852.06,3118.53
44795.35,3110.22
44861.87,3111.01
44869.35,3110.02
44904.54,3115.43
44945.8,3120.81
44922.99,3118.26
44831.99,3112.26
44791.03,3109.06
44826.07,3114.42
44892.18,3120.96
44912.33,3117.73
44950.04,3116.61
44989.57,3133.01
44944.0,3126.49
44895.96,3117.03
44847.7,3110.36
44906.0,3114.74
44865.9,3110.01
44866.32,3110.79
44855.63,3106.55
44865.23,3107.62
44894.0,3112.58
46497.67,3157.22
46817.13,3182.42
46907.87,3189.12
47330.9,3228.58
47166.06,3206.51
47311.83,3216.2
47081.46,3205.78
47203.53,3210.18
47345.75,3228.72
47292.96,3216.35
47333.73,3223.78
47325.46,3238.42
47387.09,3243.92
47330.0,3235.89
47426.05,3232.85
47523.41,3241.33
47457.69,3235.37
47385.28,3230.01
47488.08,3235.49
47559.3,3266.61
47623.22,3259.24
47547.5,3250.12
47669.21,3257.44
47688.01,3262.6
47685.09,3261.38
47494.59,3245.79
47460.72,3238.14
47289.99,3229.75
47250.0,3229.67
47186.08,3222.67
47214.37,3221.69
47287.99,3225.24
47333.02,3232.59
47230.81,3228.66
47207.07,3221.21
47319.55,3225.91
47260.85,3229.63
47209.71,3221.25
47096.34,3213.67
47050.14,3203.02
47116.18,3209.01
